tick,harvested
36660,199696
3895,690141
36665,199696
3900,688910
36670,199696
3905,689647
36675,199696
3910,689772
36680,199696
3915,688736
36685,199696
3920,688449
36690,199280
3925,688200
36695,199280
3930,686628
36700,199280
3935,686508
36705,199280
3940,686413
36710,199280
3945,685450
36715,199280
3950,685910
36720,199280
3955,684985
36725,199280
3960,684589
36730,199280
3965,683561
36735,199280
3970,683276
36740,199280
3975,683199
36745,199280
3980,682217
36750,199280
3985,681213
36755,199280
3990,680842
36760,199280
3995,680459
36765,199280
4000,679678
36770,198848
4005,678720
36775,198848
4010,678549
36780,198848
4015,677790
36785,198848
4020,677250
36790,198848
4025,676555
36795,198848
4030,675881
36800,198848
4035,675171
36805,198848
4040,674451
36810,198848
4045,673650
36815,198848
4050,673035
36820,198848
4055,672306
36825,198848
4060,671660
36830,198848
4065,670820
36835,198848
4070,670127
36840,198848
4075,669478
36845,198432
4080,668782
36850,198432
4085,668193
36855,198432
4090,667414
36860,198432
4095,666659
36865,198432
4100,666169
36870,198432
4105,665598
36875,198432
4110,665177
36880,198432
4115,664654
36885,198432
4120,664230
36890,198432
4125,663716
36895,198432
4130,663247
36900,198432
4135,662575
36905,198432
4140,662171
36910,198432
4145,661710
36915,198432
4150,661242
36920,198432
4155,660891
36925,198000
4160,660222
36930,198000
4165,659981
36935,198000
4170,659559
36940,198000
4175,659216
36945,198000
4180,658742
36950,198000
4185,658523
36955,198000
4190,658178
36960,198000
4195,657684
36965,198000
4200,657508
36970,198000
4205,657031
36975,198000
4210,656645
36980,198000
4215,656238
36985,198000
4220,656245
36990,198000
4225,655627
36995,198000
4230,655452
37000,198000
4235,655073
37005,197584
4240,654813
37010,197584
4245,654798
37015,197584
4250,654412
37020,197584
4255,654211
37025,197584
4260,654022
37030,197584
4265,653689
37035,197584
4270,653404
37040,197584
4275,653237
37045,197584
4280,653217
37050,197584
4285,653412
37055,197584
4290,653289
37060,197584
4295,653018
37065,197584
4300,652625
37070,197584
4305,652593
37075,197584
4310,652621
37080,197584
4315,652433
37085,197152
4320,652470
37090,197152
4325,652276
37095,197152
4330,652151
37100,197152
4335,652007
37105,197152
4340,651987
37110,197152
4345,652214
37115,197152
4350,652531
37120,197152
4355,652598
37125,197152
4360,652694
37130,197152
4365,653180
37135,197152
4370,653645
37140,197152
4375,653204
37145,197152
4380,653188
37150,197152
4385,653111
37155,197152
4390,652975
37160,197152
4395,653315
37165,196736
4400,653424
37170,196736
4405,653575
37175,196736
4410,653736
37180,196736
4415,653715
37185,196736
4420,653872
37190,196736
4425,654031
37195,196736
4430,654141
37200,196736
4435,654323
37205,196736
4440,654333
37210,196736
4445,654603
37215,196736
4450,654819
37220,196736
4455,654874
37225,196736
4460,654958
37230,196736
4465,654925
37235,196736
4470,654914
37240,196736
4475,655625
37245,196304
4480,656796
37250,196304
4485,656850
37255,196304
4490,657521
37260,196304
4495,658248
37265,196304
4500,658828
37270,196304
4505,659429
37275,196304
4510,659289
37280,196304
4515,659411
37285,196304
4520,659807
37290,196304
4525,659897
37295,196304
4530,660371
37300,196304
4535,660975
37305,196304
4540,661227
37310,196304
4545,661372
37315,196304
4550,661716
37320,196304
4555,662195
37325,195888
4560,662654
37330,195888
4565,663289
37335,195888
4570,663544
37340,195888
4575,664051
37345,195888
4580,664496
37350,195888
4585,665276
37355,195888
4590,665899
37360,195888
4595,665880
37365,195888
4600,665810
37370,195888
4605,665764
37375,195888
4610,666218
37380,195888
4615,667396
37385,195888
4620,667967
37390,195888
4625,668725
37395,195888
4630,669189
37400,195888
4635,669988
37405,195456
4640,670859
37410,195456
4645,671135
37415,195456
4650,671350
37420,195456
4655,672044
37425,195456
4660,672446
37430,195456
4665,672878
37435,195456
4670,673560
37440,195456
4675,674137
37445,195456
4680,674555
37450,195456
4685,675346
37455,195456
4690,675883
37460,195456
4695,676404
37465,195456
4700,676907
37470,195456
4705,677505
37475,195456
4710,678122
37480,195456
4715,678785
37485,195040
4720,679415
37490,195040
4725,679677
37495,195040
4730,680432
37500,195040
4735,681372
37505,195040
4740,682288
37510,195040
4745,682982
37515,195040
4750,683206
37520,195040
4755,683829
37525,195040
4760,684662
37530,195040
4765,685244
37535,195040
4770,685877
37540,195040
4775,686509
37545,195040
4780,687235
37550,195040
4785,687669
37555,195040
4790,688180
37560,195040
4795,688782
37565,195040
4800,690086
37570,194608
4805,690227
37575,194608
4810,690644
37580,194608
4815,691247
37585,194608
4820,691941
37590,194608
4825,692388
37595,194608
4830,692916
37600,194608
4835,693333
37605,194608
4840,694110
37610,194608
4845,694543
37615,194608
4850,695016
37620,194608
4855,695678
37625,194608
4860,696113
37630,194608
4865,696578
37635,194608
4870,697249
37640,194608
4875,697707
37645,194608
4880,697986
37650,194192
4885,698569
37655,194192
4890,698960
37660,194192
4895,699560
37665,194192
4900,699900
37670,194192
4905,700202
37675,194192
4910,700722
37680,194192
4915,700668
37685,194192
4920,701747
37690,194192
4925,702090
37695,194192
4930,702593
37700,194192
4935,702960
37705,194192
4940,703209
37710,194192
4945,703760
37715,194192
4950,703994
37720,194192
4955,704494
37725,194192
4960,704699
37730,193760
4965,705323
37735,193760
4970,705502
37740,193760
4975,705955
37745,193760
4980,706223
37750,193760
4985,706759
37755,193760
4990,707022
37760,193760
4995,707461
37765,193760
5000,707903
37770,193760
5005,708074
37775,193760
5010,708516
37780,193760
5015,708821
37785,193760
5020,709284
37790,193760
5025,709564
37795,193760
5030,709946
37800,193760
5035,710090
37805,193760
5040,710636
37810,193760
5045,710921
37815,193344
5050,711135
37820,193344
5055,711546
37825,193344
5060,711651
37830,193344
5065,711868
37835,193344
5070,712288
37840,193344
5075,712251
37845,193344
5080,712473
37850,193344
5085,712915
37855,193344
5090,712823
37860,193344
5095,713003
37865,193344
5100,713234
37870,193344
5105,713146
37875,193344
5110,713214
37880,193344
5115,713365
37885,193344
5120,714804
37890,193344
5125,713260
37895,192912
5130,713431
37900,192912
5135,713474
37905,192912
5140,713354
37910,192912
5145,713447
37915,192912
5150,713421
37920,192912
5155,713489
37925,192912
5160,713288
37930,192912
5165,713130
37935,192912
5170,713301
37940,192912
5175,713269
37945,192912
5180,712909
37950,192912
5185,712775
37955,192912
5190,712526
37960,192912
5195,712875
37965,192912
5200,712602
37970,192912
5205,712364
37975,192912
5210,712428
37980,192496
5215,712380
37985,192496
5220,712191
37990,192496
5225,711978
37995,192496
5230,711842
38000,192496
5235,711474
38005,192496
5240,711473
38010,192496
5245,711382
38015,192496
5250,711103
38020,192496
5255,710820
38025,192496
5260,710366
38030,192496
5265,710003
38035,192496
5270,709781
38040,192496
5275,709732
38045,192496
5280,709806
38050,192496
5285,709818
38055,192496
5290,709602
38060,192496
5295,709405
38065,192064
5300,709544
38070,192064
5305,709101
38075,192064
5310,708755
38080,192064
5315,708273
38085,192064
5320,707941
38090,192064
5325,707486
38095,192064
5330,707391
38100,192064
5335,707151
38105,192064
5340,706901
38110,192064
5345,706831
38115,192064
5350,706741
38120,192064
5355,706393
38125,192064
5360,705878
38130,192064
5365,705709
38135,192064
5370,705372
38140,192064
5375,704902
38145,192064
5380,704794
38150,191648
5385,704662
38155,191648
5390,704142
38160,191648
5395,703887
38165,191648
5400,703940
38170,191648
5405,703556
38175,191648
5410,703345
38180,191648
5415,702927
38185,191648
5420,702672
38190,191648
5425,702265
38195,191648
5430,701942
38200,191648
5435,701567
38205,191648
5440,701330
38210,191648
5445,700994
38215,191648
5450,700765
38220,191648
5455,700348
38225,191648
5460,699914
38230,191648
5465,699650
38235,191216
5470,699529
38240,191216
5475,699082
38245,191216
5480,698710
38250,191216
5485,698310
38255,191216
5490,697854
38260,191216
5495,697527
38265,191216
5500,697052
38270,191216
5505,696680
38275,191216
5510,696512
38280,191216
5515,696023
38285,191216
5520,695387
38290,191216
5525,695297
38295,191216
5530,694361
38300,191216
5535,694515
38305,191216
5540,694119
38310,191216
5545,693671
38315,190800
5550,692947
38320,190800
5555,692537
38325,190800
5560,692107
38330,190800
5565,692125
38335,190800
5570,692153
38340,190800
5575,691209
38345,190800
5580,690294
38350,190800
5585,689505
38355,190800
5590,689850
38360,190800
5595,689932
38365,190800
5600,689438
38370,190800
5605,689249
38375,190800
5610,688682
38380,190800
5615,688084
38385,190800
5620,687413
38390,190800
5625,687253
38395,190800
5630,686910
38400,190800
5635,686522
38405,190368
5640,685968
38410,190368
5645,685763
38415,190368
5650,685524
38420,190368
5655,684654
38425,190368
5660,684130
38430,190368
5665,683444
38435,190368
5670,682680
38440,190368
5675,682255
38445,190368
5680,682125
38450,190368
5685,681763
38455,190368
5690,681200
38460,190368
5695,680925
38465,190368
5700,680517
38470,190368
5705,679798
38475,190368
5710,679818
38480,190368
5715,678857
38485,190368
5720,678350
38490,189952
5725,678030
38495,189952
5730,677342
38500,189952
5735,677002
38505,189952
5740,676684
38510,189952
5745,676349
38515,189952
5750,676065
38520,189952
5755,675785
38525,189952
5760,675616
38530,189952
5765,675140
38535,189952
5770,674578
38540,189952
5775,674420
38545,189952
5780,673552
38550,189952
5785,673231
38555,189952
5790,672875
38560,189952
5795,672746
38565,189952
5800,672492
38570,189952
5805,671889
38575,189520
5810,671746
38580,189520
5815,671329
38585,189520
5820,670721
38590,189520
5825,670637
38595,189520
5830,670136
38600,189520
5835,669990
38605,189520
5840,669716
38610,189520
5845,669523
38615,189520
5850,669206
38620,189520
5855,668781
38625,189520
5860,668063
38630,189520
5865,667632
38635,189520
5870,666912
38640,189520
5875,666378
